,level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
10,10,11,5.5,0.0,19.5,167,62.05500000000001,46.104,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,315227.0,63.42,49.028,,,,,,6.0,,,,,0.32499999999999996,,,,7.0,5.0,7.0,5.0,0.01935132,0.01935132,0.0,Man City,Man Utd,9.0,Erling Haaland,FW,True,0.0,0.4057461153826125,64.97559794838521,E. Haaland,2.0,Man City
11,11,12,6.0,0.0,21.0,167,63.42,49.028,0.0,FirstHalf,Aerial,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '7'}]","[197, 199]",False,315227.0,,,,,,,,,,,,,0.35,,,,,,,,,,,Man City,Man Utd,9.0,Erling Haaland,FW,True,0.0,0.0,,E. Haaland,2.0,Man City
12,12,13,7.0,0.0,21.0,32,41.580000000000005,18.972,0.0,FirstHalf,Aerial,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}]","[198, 200]",False,99487.0,,,,,,,,,,,,,0.35,,,,,,,,,,,Man Utd,Man City,5.0,Harry Maguire,DC,True,0.0,0.0,,H. Maguire,2.0,Man City
13,13,14,7.0,0.0,23.0,167,62.160000000000004,46.51200000000001,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.64'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '62.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '64.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '4.3'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}]","[91, 120, 29, 139, 36, 38, 216, 218]",True,315227.0,65.625,43.928,,,,,,,,,,,0.3833333333333333,,,,,,,,,,,Man City,Man Utd,9.0,Erling Haaland,FW,True,4.022426097578922,0.0,-36.71348257118789,E. Haaland,2.0,Man City
14,14,15,8.0,0.0,24.0,32,35.07,20.672,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '19.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.61'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '46.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '48.2'}]","[91, 118, 120, 29, 139, 36, 37, 216, 218]",True,99487.0,50.61000000000001,31.552,,,,,,,,,,,0.4,,,,,,,,,,,Man Utd,Man City,5.0,Harry Maguire,DC,True,16.74370430220131,0.0,34.996968875305114,H. Maguire,2.0,Man City
15,15,16,8.0,0.0,27.0,167,59.115,35.292,0.0,FirstHalf,BallTouch,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 69]",True,468847.0,,,,,,,,,,,,,0.45,,,,,,,,,,,Man City,Man Utd,75.0,Nico O'Reilly,MC,True,0.0,0.0,,N. O'Reilly,2.0,Man City
16,16,17,9.0,0.0,28.0,32,47.98500000000001,31.892000000000003,0.0,FirstHalf,Foul,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '9'}]","[91, 63]",True,343346.0,,,,,,,,,,,,,0.4666666666666667,,,,,,,,,,,Man Utd,Man City,7.0,Mason Mount,AMC,True,0.0,0.0,,M. Mount,3.0,Man Utd
17,17,18,9.0,0.0,28.0,167,57.015,36.108000000000004,0.0,FirstHalf,Foul,Unsuccessful,"[{'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '9'}]",[64],False,468847.0,,,,,,,,,,,,,0.4666666666666667,,,,,,,,,,,Man City,Man Utd,75.0,Nico O'Reilly,MC,True,0.0,0.0,,N. O'Reilly,3.0,Man Utd
18,18,19,10.0,0.0,31.0,32,41.265,26.384,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.14'}, {'type': {'value': 5, 'displayName': 'FreekickTaken'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '57.9'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '31.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 132, 35, 37, 215, 218]",True,88526.0,32.865,39.372,,,,,,,,,,,0.5166666666666666,,,,4.0,3.0,3.0,4.0,0.01262646,0.01132376,-0.0013027000000000004,Man Utd,Man City,18.0,Casemiro,DMC,True,-8.146330548627603,0.0,122.89280306760766,Casemiro,3.0,Man Utd
19,19,20,11.0,0.0,33.0,32,30.555000000000003,40.392,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '33.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '29.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.75'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 36, 38, 215, 218]",True,22079.0,31.185000000000002,22.644,,,,,,,,,,,0.55,,,,3.0,4.0,3.0,2.0,0.01132376,0.01110462,-0.0002191399999999996,Man Utd,Man City,35.0,Jonny Evans,DC,True,0.03549294057258123,0.0,-87.9670277398752,J. Evans,3.0,Man Utd
20,20,21,11.5,0.0,34.0,32,31.185000000000002,22.644,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,99487.0,34.125,18.156000000000002,,,,,,12.0,,,,,0.5666666666666667,,,,3.0,2.0,3.0,2.0,0.01110462,0.01110462,0.0,Man Utd,Man City,5.0,Harry Maguire,DC,True,0.0,2.0590562115591666,-56.77198519545097,H. Maguire,3.0,Man Utd
21,21,22,12.0,0.0,35.0,32,34.125,18.156000000000002,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '4.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '43.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.36'}]","[91, 117, 30, 36, 38, 216, 218]",True,99487.0,45.57,3.128,,,,,,,,,,,0.5833333333333334,,,,3.0,2.0,5.0,0.0,0.01110462,0.01248344,0.0013788199999999994,Man Utd,Man City,5.0,Harry Maguire,DC,True,5.654179983646202,0.0,-52.70788523021363,H. Maguire,3.0,Man Utd
22,22,23,13.0,0.0,37.0,32,45.57,3.128,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '26.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.77'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '14.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.7'}]","[91, 117, 30, 35, 37, 215, 218]",True,386634.0,28.14,9.996,,,,,,,,,,,0.6166666666666667,,,,5.0,0.0,3.0,1.0,0.01248344,0.0105949,-0.0018885399999999993,Man Utd,Man City,16.0,Amad Diallo,AMR,True,-13.55094322636289,0.0,158.49390940334115,A. Diallo,3.0,Man Utd
23,23,24,14.0,0.0,39.0,32,28.14,9.996,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '30.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.90'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '23.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 37, 215, 218]",True,353418.0,24.465000000000003,20.672,,,,,,,,,,,0.65,,,,3.0,1.0,2.0,2.0,0.0105949,0.01001304,-0.00058186,Man Utd,Man City,20.0,Diogo Dalot,DR,True,-1.1092723017977875,0.0,108.99500232517649,D. Dalot,3.0,Man Utd
24,24,25,14.5,0.0,40.5,32,24.465000000000003,20.672,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,99487.0,25.725,24.48,,,,,,15.0,,,,,0.675,,,,2.0,2.0,2.0,2.0,0.01001304,0.01001304,0.0,Man Utd,Man City,5.0,Harry Maguire,DC,True,0.0,1.7858234057496531,71.69153172110532,H. Maguire,3.0,Man Utd
25,25,26,15.0,0.0,42.0,32,25.725,24.48,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.80'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '47.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '3.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.4'}]","[91, 117, 30, 35, 37, 215, 218]",True,99487.0,3.6750000000000003,32.368,,,,,,,,,,,0.7,,,,2.0,2.0,0.0,3.0,0.01001304,0.00941056,-0.0006024800000000007,Man Utd,Man City,5.0,Harry Maguire,DC,True,-21.493567949460882,0.0,160.3162229606133,H. Maguire,3.0,Man Utd
26,26,27,16.0,0.0,45.0,32,3.8850000000000002,33.388000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '91.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.41'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '8.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '28.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 36, 37, 215, 218]",True,260843.0,8.4,61.948,,,,,,,,,,,0.75,,,,0.0,3.0,0.0,7.0,0.00941056,0.00638303,-0.0030275300000000005,Man Utd,Man City,24.0,Andre Onana,GK,True,0.555175932781637,0.0,81.01655673816526,A. Onana,3.0,Man Utd
27,27,28,17.0,0.0,48.0,32,8.295,62.424,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.17'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '43.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '37.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '85.7'}]","[91, 118, 120, 124, 128, 36, 38, 216, 218]",True,22079.0,45.99,58.276,,,,,,,,,,,0.8,,,,,,,,,,,Man Utd,Man City,35.0,Jonny Evans,DC,True,36.98739783422287,0.0,-6.279626287202149,J. Evans,3.0,Man Utd
28,28,29,10.0,0.0,52.0,167,58.800000000000004,9.928,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.05'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '27.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '60.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}]","[91, 119, 117, 30, 139, 36, 37, 216, 218]",True,444791.0,63.73500000000001,18.564,,,,,,,,,,,0.8666666666666667,,,,6.0,1.0,7.0,2.0,0.01611813,0.01935132,0.0032331900000000004,Man City,Man Utd,82.0,Rico Lewis,DR,True,8.037537091166705,0.0,60.25440422057185,R. Lewis,4.0,Man City
29,29,30,11.0,0.0,53.0,167,62.580000000000005,18.564,0.0,FirstHalf,BallRecovery,Successful,[],[93],False,93894.0,,,,,,,,,,,,,0.8833333333333333,,,,,,,,,,,Man City,Man Utd,8.0,Mateo Kovacic,MC,True,0.0,0.0,,M. Kovacic,4.0,Man City
30,30,31,12.0,0.0,54.0,167,62.580000000000005,18.564,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.39'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '65.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '16.8'}]","[91, 119, 117, 30, 36, 38, 216, 218]",True,93894.0,68.355,11.424000000000001,,,,,,,,,,,0.9,,,,7.0,2.0,7.0,1.0,0.01935132,0.01870347,-0.0006478500000000019,Man City,Man Utd,8.0,Mateo Kovacic,MC,True,2.1001361727797274,0.0,-51.03325300620071,M. Kovacic,4.0,Man City
31,31,32,12.5,0.0,56.5,167,68.355,11.424000000000001,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,430709.0,56.7,13.464000000000002,,,,,,13.0,,,,,0.9416666666666667,,,,7.0,1.0,6.0,1.0,0.01870347,0.01611813,-0.0025853399999999985,Man City,Man Utd,52.0,Oscar Bobb,FWR,True,0.0,-9.443400273346853,170.0719657889435,O. Bobb,4.0,Man City
32,32,33,13.0,0.0,59.0,167,56.7,13.464000000000002,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '34.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.76'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '26.5'}]","[91, 117, 30, 35, 37, 215, 218]",True,430709.0,32.13,23.323999999999998,,,,,,,,,,,0.9833333333333333,,,,6.0,1.0,3.0,2.0,0.01611813,0.01110462,-0.0050135100000000005,Man City,Man Utd,52.0,Oscar Bobb,FWR,True,-21.163456628474584,0.0,158.13429002354877,O. Bobb,4.0,Man City
33,33,34,13.5,1.0,1.5,167,32.13,23.323999999999998,1.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,297390.0,37.695,17.272000000000002,,,,,,14.0,,,,,1.025,,,,3.0,2.0,4.0,2.0,0.01110462,0.01269174,0.0015871199999999992,Man City,Man Utd,25.0,Manuel Akanji,DC,True,0.0,4.295262354933882,-47.40050927594565,M. Akanji,4.0,Man City
34,34,35,14.0,1.0,4.0,167,37.695,17.272000000000002,1.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '45.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '26.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.59'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '14.8'}]","[91, 117, 30, 35, 37, 215, 218]",True,297390.0,15.540000000000001,30.872,,,,,,,,,,,1.0666666666666667,,,,4.0,2.0,1.0,3.0,0.01269174,0.01082722,-0.0018645199999999997,Man City,Man Utd,25.0,Manuel Akanji,DC,True,-20.16202669133675,0.0,148.45602895255607,M. Akanji,4.0,Man City
35,35,36,15.0,1.0,6.0,167,14.700000000000001,33.388000000000005,1.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '23.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '39.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.73'}]","[91, 117, 30, 36, 38, 215, 218]",True,121774.0,24.885,27.064,,,,,,,,,,,1.1,,,,1.0,3.0,2.0,3.0,0.01082722,0.01016549,-0.000661730000000001,Man City,Man Utd,31.0,Ederson,GK,True,9.887390371965665,0.0,-31.836687899104795,Ederson,4.0,Man City
36,36,37,15.5,1.0,8.0,167,24.885,27.064,1.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,313171.0,28.35,35.428000000000004,,,,,,16.0,,,,,1.1333333333333333,,,,2.0,3.0,3.0,4.0,0.01016549,0.01132376,0.0011582700000000012,Man City,Man Utd,3.0,Ruben Dias,DC,True,0.0,3.7513827274685525,67.49697265506857,R. Dias,4.0,Man City
37,37,38,16.0,1.0,10.0,167,28.35,35.428000000000004,1.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.61'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '26.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '76.4'}]","[91, 117, 30, 35, 37, 215, 218]",True,313171.0,27.72,51.952000000000005,,,,,,,,,,,1.1666666666666667,,,,3.0,4.0,3.0,6.0,0.01132376,0.0105949,-0.0007288599999999996,Man City,Man Utd,3.0,Ruben Dias,DC,True,-2.6744122357621194,0.0,92.18342206592052,R. Dias,4.0,Man City
38,38,39,17.0,1.0,13.0,167,29.400000000000002,51.204,1.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '93.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '65.8'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '89.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.19'}, {'type': {'value': 1, 'displayName': 'Longball'}}]","[91, 120, 124, 128, 36, 37, 217, 218]",True,402664.0,93.97500000000001,63.648,,,,,,,,,,,1.2166666666666668,,,,,,,,,,,Man City,Man Utd,24.0,Josko Gvardiol,DL,True,45.90127312134059,0.0,10.907541490129148,J. Gvardiol,4.0,Man City
39,39,40,19.0,1.0,18.0,32,9.975,4.6240000000000006,1.0,FirstHalf,BallRecovery,Successful,[],[93],False,99487.0,,,,,,,,,,,,,1.3,,,,,,,,,,,Man Utd,Man City,5.0,Harry Maguire,DC,True,0.0,0.0,,H. Maguire,5.0,Man Utd
40,40,41,20.0,1.0,19.0,32,9.975,4.6240000000000006,1.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.77'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '40.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '5.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 37, 215, 218]",True,99487.0,5.25,27.676000000000005,,,,,,,,,,,1.3166666666666667,,,,1.0,0.0,0.0,3.0,0.00779616,0.00941056,0.0016144000000000002,Man Utd,Man City,5.0,Harry Maguire,DC,True,-0.4882119416496806,0.0,101.5835519438166,H. Maguire,5.0,Man Utd
